161,356403.951,3068.498667,-0.2600820381,-0.0006713648964,2.538873655e-07,-4.187059506e-10,4076924.673,1991.659005,-2.975092939,0.0003738844199,-5.811305613e-07,2.390639676e-10,5034509.72,582.244318,-3.673880565,0.0009183278648,-9.152387399e-07,5.803297763e-10,5
171,387062.2606,3063.096611,-0.2800747945,-0.0006616221052,2.333991356e-07,-4.010706078e-10,4096544.122,1932.266999,-2.964222735,0.0003508728324,-5.695830805e-07,2.229517656e-10,5039965.684,509.0385731,-3.646874151,0.00088228774,-8.870362214e-07,5.48081866e-10,5
181,417664.56,3057.297542,-0.2997873873,-0.0006526816939,2.137564408e-07,-3.848674478e-10,4115570.715,1873.085539,-2.95403611,0.0003283072603,-5.588241997e-07,2.075107989e-10,5044692.256,436.3622557,-3.620932337,0.0008473440781,-8.604006295e-07,5.17629779e-10,5
191,448206.9061,3051.106826,-0.3192433949,-0.0006445112398,1.948901543e-07,-3.699987921e-10,4134006.489,1814.101084,-2.944520149,0.0003061568127,-5.488217026e-07,1.926878318e-10,5048694.624,364.1943964,-3.596023152,0.0008134359529,-8.35245521e-07,4.888414057e-10,5
201,478685.4075,3044.529366,-0.338465463,-0.0006370809909,1.767357981e-07,-3.563762292e-10,4151853.349,1755.300342,-2.935662847,0.0002843918355,-5.395459499e-07,1.784329691e-10,5051977.771,292.5146476,-3.572116402,0.0007805057675,-8.114907956e-07,4.61594962e-10,5
211,509096.2193,3037.569621,-0.3574753831,-0.0006303636888,1.592331007e-07,-3.43919766e-10,4169113.065,1696.670254,-2.92745307,0.000262983811,-5.3096972e-07,1.646993476e-10,5054546.478,221.3032485,-3.549183573,0.0007484990101,-7.890622043e-07,4.35778039e-10,5
221,539435.5392,3030.231624,-0.3762941639,-0.0006243344084,1.423255959e-07,-3.325570723e-10,4185787.28,1638.197972,-2.919880524,0.0002419052647,-5.230680646e-07,1.514428526e-10,5056405.333,150.5409922,-3.527197744,0.0007173640297,-7.678909023e-07,4.11286748e-10,5
231,569699.6031,3022.518993,-0.3949420998,-0.0006189704135,1.259602565e-07,-3.222228103e-10,4201877.508,1579.870848,-2.912935725,0.0002211296767,-5.158181778e-07,1.386218563e-10,5057558.733,80.20919557,-3.506133504,0.0006870518277,-7.479130421e-07,3.880249475e-10,5
241,599884.6811,3014.434948,-0.4134388342,-0.0006142510258,1.1008716e-07,-3.128580382e-10,4217385.139,1521.676416,-2.90660997,0.0002006313984,-5.091992782e-07,1.261969775e-10,5058010.891,10.28966878,-3.485966873,0.0006575158655,-7.290694046e-07,3.659035455e-10,5
251,629987.0736,3005.982321,-0.4318034195,-0.0006101575069,9.465918221e-08,-3.044096794e-10,4232311.438,1463.602376,-2.900895316,0.0001803855738,-5.031925018e-07,1.141308581e-10,5057765.841,-59.2353119,-3.466675233,0.0006287118866,-7.113050622e-07,3.448398674e-10,5
261,660003.1072,2997.163568,-0.4500543737,-0.000606672952,7.963171603e-08,-2.968300527e-10,4246657.547,1405.636578,-2.895784553,0.0001603680648,-4.977808064e-07,1.023879565e-10,5056827.442,-128.383031,-3.448237262,0.000600597751,-6.945690727e-07,3.247570838e-10,5
271,689929.1316,2987.980783,-0.4682097341,-0.0006037821949,6.496241242e-08,-2.900764536e-10,4260424.49,1347.767011,-2.891271185,0.0001405553799,-4.929488854e-07,9.093435477e-11,5055199.382,-197.1703589,-3.430632872,0.000573133281,-6.788142002e-07,3.055836902e-10,5
281,719761.5153,2978.435699,-0.4862871078,-0.000601471722,5.06109409e-08,-2.841107853e-10,4273613.169,1289.981787,-2.887349411,0.0001209246064,-4.886830913e-07,7.973757835e-11,5052885.181,-265.6137764,-3.413843153,0.0005462801188,-6.639966606e-07,2.872530348e-10,5
291,749496.6426,2968.529703,-0.5043037204,-0.0005997295963,3.653876757e-08,-2.788992313e-10,4286224.368,1232.269126,-2.884014113,0.0001014533458,-4.849713678e-07,6.876642708e-11,5049888.199,-333.729397,-3.397850319,0.0005200015927,-6.500758905e-07,2.697028877e-10,5
301,779130.9099,2958.263842,-0.5222764623,-0.0005985453898,2.270894839e-08,-2.744119675e-10,4298258.754,1174.617343,-2.881260835,8.211965053e-05,-4.818031901e-07,5.799081586e-11,5046211.633,-401.5329897,-3.382637663,0.0004942625927,-6.370143355e-07,2.528750488e-10,5
311,808660.7224,2947.638827,-0.5402219328,-0.0005979101235,9.085936034e-09,-2.706229103e-10,4309716.879,1117.014838,-2.879085774,6.290196465e-05,-4.791695131e-07,4.738162367e-11,5041858.527,-469.0399996,-3.368189505,0.0004690294541,-6.24777258e-07,2.367149889e-10,5
321,838082.4906,2936.655038,-0.5581564829,-0.0005978162157,-4.36460147e-09,-2.675094958e-10,4320599.177,1059.450079,-2.87748577,4.377906503e-05,-4.770627262e-07,3.69105499e-11,5036831.771,-536.2655682,-3.35449116,0.0004442698482,-6.133325618e-07,2.211715214e-10,5
331,867392.6275,2925.312532,-0.5760962566,-0.0005982574362,-1.767595189e-08,-2.650524898e-10,4330905.968,1001.91159,-2.876458292,2.473000492e-05,-4.754766167e-07,2.654997687e-11,5031134.105,-603.2245527,-3.341528891,0.0004199526801,-6.026506333e-07,2.061965011e-10,5
341,896587.5448,2913.611046,-0.5940572308,-0.0005992288684,-3.088052107e-08,-2.632358243e-10,4340637.458,944.387943,-2.876001438,5.734058658e-06,-4.744063382e-07,1.627283735e-11,5024768.12,-669.931545,-3.329289875,0.0003960479921,-5.927041954e-07,1.917445474e-10,5
